Source,Target,Weight
gene_9175,gene_9176,0.980037183141891
gene_9175,gene_3737,0.9413303498445851
gene_9175,gene_12995,0.9147944653688741
gene_9175,gene_203,0.9112080729214375
gene_9175,gene_13976,0.8898997656670203
gene_9175,gene_16358,0.90781236671442
gene_9175,gene_9626,0.9269071998924768
gene_9175,gene_12848,0.9101319416405921
gene_9175,gene_12847,0.904995156164162
gene_9176,gene_3737,0.9347230792273855
gene_9176,gene_12995,0.9120364310523621
gene_9176,gene_203,0.9057994715027335
gene_9176,gene_13976,0.9063029151217808
gene_9176,gene_16358,0.9104624713730206
gene_9176,gene_9626,0.9156358090331088
gene_9176,gene_12848,0.9010958683045468
gene_9176,gene_12847,0.8962219297291248
gene_220,gene_219,0.9931112157752789
gene_220,gene_14114,0.9698547467647931
gene_220,gene_13818,0.9402646987867863
gene_220,gene_3439,0.92288719435834
gene_220,gene_7421,0.9381491657887167
gene_220,gene_6733,0.9225889109253347
gene_220,gene_16169,0.9578493524604504
gene_220,gene_450,0.9730419487653786
gene_220,gene_3921,0.7087001097853678
gene_220,gene_1858,0.9124958506668931
gene_220,gene_16132,0.9659157758467813
gene_220,gene_12808,0.9242989127727443
gene_220,gene_1510,0.9524055604558088
gene_220,gene_16342,0.8757613765235144
gene_220,gene_3461,0.7375893509471518
gene_220,gene_11566,0.9512036525433789
gene_220,gene_16246,0.9322089145752795
gene_220,gene_16130,0.952353548432538
gene_220,gene_14503,0.9323911929901146
gene_220,gene_2288,0.9028984528816788
gene_220,gene_7116,0.9347951183843615
gene_220,gene_16131,0.9313385944989567
gene_220,gene_6816,0.8032610034849466
gene_219,gene_14114,0.9670486885592627
gene_219,gene_13818,0.940826538728929
gene_219,gene_3439,0.9254446181704302
gene_219,gene_7421,0.9356067549779199
gene_219,gene_6733,0.9270596309684968
gene_219,gene_16169,0.9579482674070795
gene_219,gene_450,0.9682912174304228
gene_219,gene_3921,0.7036619881969873
gene_219,gene_1858,0.9137456966116994
gene_219,gene_16132,0.9660925061360888
gene_219,gene_12808,0.9235545671716054
gene_219,gene_1510,0.9505127905013587
gene_219,gene_16342,0.8745389903583137
gene_219,gene_3461,0.7330881526108447
gene_219,gene_11566,0.951375533921471
gene_219,gene_16246,0.9296213552001472
gene_219,gene_16130,0.9550545442370164
gene_219,gene_14503,0.9297486577469584
gene_219,gene_2288,0.9027455083609085
gene_219,gene_7116,0.9343660462905669
gene_219,gene_16131,0.930814590378264
gene_219,gene_6816,0.8031838225227615
gene_15895,gene_15898,0.9618598547152051
gene_15895,gene_15896,0.9388673173555286
gene_15895,gene_11903,0.9708653726294746
gene_15895,gene_15894,0.8898937888142158
gene_15895,gene_11550,0.8336096809055775
gene_14114,gene_13818,0.9355473689147288
gene_14114,gene_3439,0.9261730572529732
gene_14114,gene_7421,0.9350762665000364
gene_14114,gene_6733,0.9236080356718422
gene_14114,gene_16169,0.9259562232833193
gene_14114,gene_450,0.9577109906044713
gene_14114,gene_3921,0.7173240875834183
gene_14114,gene_1858,0.9102088994608146
gene_14114,gene_16132,0.9479448039727202
gene_14114,gene_12808,0.9300097701875032
gene_14114,gene_1510,0.9335643144164893
gene_14114,gene_16342,0.8669396888137924
gene_14114,gene_3461,0.7396482833631186
gene_14114,gene_11566,0.9309108285506101
gene_14114,gene_16246,0.9258708968230347
gene_14114,gene_16130,0.934996155235898
gene_14114,gene_14503,0.930894842387625
gene_14114,gene_2288,0.900571827603841
gene_14114,gene_7116,0.910941573783864
gene_14114,gene_16131,0.9197433112128763
gene_14114,gene_6816,0.8159267033208234
gene_15898,gene_15896,0.9469264199757653
gene_15898,gene_11903,0.925081988415687
gene_15898,gene_15894,0.898297205168432
gene_15898,gene_11550,0.8329200198783575
gene_13818,gene_3439,0.9186743043614306
gene_13818,gene_7421,0.9155438886278042
gene_13818,gene_6733,0.9174208566653853
gene_13818,gene_16169,0.9293746093084667
gene_13818,gene_450,0.9218148738047592
gene_13818,gene_1858,0.9003334909116597
gene_13818,gene_16132,0.9235068978227777
gene_13818,gene_12808,0.9025553098151593
gene_13818,gene_1510,0.9236655077995748
gene_13818,gene_16342,0.8599721393446067
gene_13818,gene_3461,0.7187642445545088
gene_13818,gene_11566,0.9163337481576866
gene_13818,gene_16246,0.9075073243680803
gene_13818,gene_16130,0.9211941226141703
gene_13818,gene_14503,0.902395756093626
gene_13818,gene_2288,0.8792372401966208
gene_13818,gene_7116,0.8996491352828848
gene_13818,gene_16131,0.9008970327471262
gene_13818,gene_6816,0.7870527093130992
gene_3439,gene_7421,0.9109587810753293
gene_3439,gene_6733,0.9296840047593156
gene_3439,gene_16169,0.9047739237771786
gene_3439,gene_450,0.9001043034525926
gene_3439,gene_3921,0.7578898082618354
gene_3439,gene_1858,0.9268599970358659
gene_3439,gene_16132,0.9081934765910803
gene_3439,gene_12808,0.894508325668851
gene_3439,gene_1510,0.8951308805490934
gene_3439,gene_16342,0.8796148542654058
gene_3439,gene_3461,0.7824157774643936
gene_3439,gene_7965,0.713901721837864
